subtask,n,median_s,mean_s,p25,p75,p90
listcomp_urd,2230,78.0,85.0,54.0,101.0,133.0
letterid_urd,2233,68.0,70.0,65.0,74.0,83.0
idwrd_urd,2233,50.0,68.0,34.0,87.0,144.0
orf_urd,1382,67.0,85.0,48.0,104.0,177.0
rdcomp_urd,1382,32.0,35.0,25.0,41.0,52.0
listcomp_eng,2233,80.0,81.0,57.0,104.0,127.0
letterid_eng,2233,68.0,68.0,64.0,74.0,82.0
pw_eng,2233,36.0,54.0,24.0,70.0,122.0
idwrd_eng,2232,54.0,74.0,34.0,98.0,172.0
orf_eng,952,76.0,91.0,57.0,109.0,168.0
rdcomp_eng,952,36.0,38.0,25.0,49.0,62.0
idnummag,2233,52.0,56.0,35.0,70.0,92.0
numrep,2233,69.0,71.0,49.0,88.0,112.0
blfluency,2233,90.0,98.0,65.0,131.0,142.0
bleffcomp,2233,34.0,41.0,21.0,51.0,75.0
wrdpblm,2233,67.0,71.0,37.0,94.0,125.0
patterns,2233,51.0,55.0,27.0,75.0,99.0
