file,sub,enum_correct,enum_attempted,soniox_correct,soniox_attempted,engine,machine_correct,machine_attempted,item_agree,n_items,status,enum_correct_29s,soniox_correct_29s
AA_048cadbc-2c10-416,orf_eng,0.0,5.0,5,59,speechace-29s,10,33,0.45454545454545453,33,200,54,6
AA_048cadbc-2c10-416,idwrd_eng,1.0,10.0,1,49,speechace-29s,0,10,0.9,10,200,40,1
AA_05729872-0031-4b1,idwrd_eng,14.0,17.0,11,49,speechace-29s,3,15,0.4,15,200,38,11
AA_05729872-0031-4b1,orf_eng,1.0,7.0,2,59,speechace-29s,9,41,0.21951219512195122,41,200,53,2
AA_05dc5dd8-2974-479,idwrd_eng,44.0,50.0,1,49,speechace-29s,3,10,0.4,10,200,44,1
AA_05dc5dd8-2974-479,orf_eng,54.0,60.0,56,59,speechace-29s,12,47,0.3191489361702128,47,200,42,44
AA_05ebc0d7-bc26-4ab,idwrd_eng,0.0,5.0,0,49,speechace-29s,7,49,0.24489795918367346,49,200,44,0
AA_063c4da1-14ee-4c6,idwrd_eng,49.0,50.0,41,49,speechace-29s,19,35,0.5428571428571428,35,200,35,30
AA_063c4da1-14ee-4c6,orf_eng,57.0,60.0,50,59,speechace-29s,18,37,0.5135135135135135,37,200,43,31
AA_0b2fc30d-55f4-429,idwrd_eng,0.0,5.0,0,49,speechace-29s,2,27,0.25925925925925924,27,200,44,0
AA_0b2fc30d-55f4-429,orf_eng,6.0,11.0,4,59,speechace-29s,2,14,0.35714285714285715,14,200,54,4
AA_0ce9865d-2257-4d8,idwrd_eng,0.0,5.0,2,49,speechace-29s,4,10,0.3,10,200,44,2
AA_0d43f0f6-2d6b-44e,idwrd_eng,46.0,50.0,41,49,speechace-29s,23,41,0.6097560975609756,41,200,40,35
AA_0d43f0f6-2d6b-44e,orf_eng,52.0,60.0,49,59,speechace-29s,19,45,0.4888888888888889,45,200,40,36
AA_0d47b184-8f04-431,idwrd_eng,47.0,49.0,28,49,speechace-29s,5,26,0.19230769230769232,26,200,26,19
AA_0d47b184-8f04-431,orf_eng,60.0,60.0,13,59,speechace-29s,5,37,0.13513513513513514,37,200,59,4
AA_0e2dac14-5204-4dc,idwrd_eng,1.0,6.0,3,49,speechace-29s,5,49,0.20408163265306123,49,200,44,3
AA_0e2dac14-5204-4dc,orf_eng,1.0,6.0,1,59,speechace-29s,7,27,0.37037037037037035,27,200,54,2
AA_0f412e35-93b8-4b7,idwrd_eng,24.0,30.0,10,49,speechace-29s,3,19,0.3157894736842105,19,200,38,9
AA_0f412e35-93b8-4b7,orf_eng,0.0,5.0,5,59,speechace-29s,6,15,0.3333333333333333,15,200,54,5
AA_12d53cb2-6597-40c,idwrd_eng,35.0,37.0,9,49,speechace-29s,10,49,0.2653061224489796,49,200,44,9
AA_135c74c9-c70c-435,idwrd_eng,5.0,18.0,6,49,speechace-29s,4,49,0.8775510204081632,49,200,6,6
AA_158fcd1e-4d4e-4d0,idwrd_eng,21.0,32.0,1,49,speechace-29s,11,41,0.4634146341463415,41,200,30,0
AA_174662a2-7c83-461,orf_eng,1.0,6.0,5,59,speechace-29s,9,45,0.3111111111111111,45,200,54,5
AA_19062548-6352-45b,idwrd_eng,25.0,42.0,0,49,speechace-29s,3,25,0.4,25,200,29,0
AA_1972026f-6357-47c,idwrd_eng,35.0,42.0,7,49,speechace-29s,0,22,0.18181818181818182,22,200,42,8
AA_1972026f-6357-47c,orf_eng,30.0,39.0,4,59,speechace-29s,2,25,0.24,25,200,47,3
AA_1b71e9b9-d0ef-470,orf_eng,0.0,5.0,6,59,speechace-29s,6,22,0.4090909090909091,22,200,54,4
AA_1d938bbd-776b-4b6,idwrd_eng,50.0,50.0,7,49,speechace-29s,1,11,0.09090909090909091,11,200,49,6
AA_1d938bbd-776b-4b6,orf_eng,60.0,60.0,44,59,speechace-29s,7,42,0.16666666666666666,42,200,42,33
AA_1e4a7c58-e85a-483,idwrd_eng,16.0,25.0,6,49,speechace-29s,4,26,0.5769230769230769,26,200,34,0
AA_1e4a7c58-e85a-483,orf_eng,1.0,1.0,5,59,speechace-29s,8,16,0.5,16,200,59,5
AA_1f684f13-e02a-48c,idwrd_eng,7.0,8.0,0,49,speechace-29s,4,30,0.16666666666666666,30,200,48,0
AA_1f684f13-e02a-48c,orf_eng,0.0,1.0,1,59,speechace-29s,8,38,0.23684210526315788,38,200,58,3
AA_211f7272-f101-442,idwrd_eng,45.0,50.0,7,49,speechace-29s,2,49,0.14285714285714285,49,200,44,7
AA_211f7272-f101-442,orf_eng,56.0,60.0,7,59,speechace-29s,5,23,0.2608695652173913,23,200,56,6
AA_2318428a-ea25-4cf,idwrd_eng,0.0,5.0,3,49,speechace-29s,12,49,0.30612244897959184,49,200,44,3
AA_2318428a-ea25-4cf,orf_eng,0.0,5.0,0,59,speechace-29s,5,8,0.75,8,200,54,0
AA_2387d28e-9d18-473,idwrd_eng,0.0,5.0,0,49,speechace-29s,3,43,0.18604651162790697,43,200,44,0
AA_2387d28e-9d18-473,orf_eng,0.0,5.0,5,59,speechace-29s,7,24,0.3333333333333333,24,200,54,5
AA_268319c5-6f94-4a8,idwrd_eng,35.0,39.0,6,49,speechace-29s,3,17,0.4117647058823529,17,200,43,6
AA_268319c5-6f94-4a8,orf_eng,0.0,5.0,5,59,speechace-29s,2,15,0.3333333333333333,15,200,54,5
AA_271887cf-1b78-4ce,idwrd_eng,24.0,42.0,1,49,speechace-29s,2,10,0.5,10,200,29,1
AA_271887cf-1b78-4ce,orf_eng,16.0,36.0,5,59,speechace-29s,12,59,0.4745762711864407,59,200,33,3
AA_27e407f8-7dc7-428,idwrd_eng,49.0,50.0,8,49,speechace-29s,6,38,0.15789473684210525,38,200,48,8
AA_284e5d4b-0271-4ce,idwrd_eng,38.0,46.0,30,49,speechace-29s,13,25,0.68,25,200,21,19
AA_284e5d4b-0271-4ce,orf_eng,40.0,53.0,39,58,speechace-29s,10,30,0.36666666666666664,30,200,23,21
AA_2958d924-08be-406,idwrd_eng,46.0,49.0,43,49,speechace-29s,18,30,0.6,30,200,30,27
AA_2958d924-08be-406,orf_eng,29.0,34.0,28,48,speechace-29s,10,20,0.55,20,200,34,13
AA_2961fac7-aa9a-4de,orf_eng,0.0,5.0,5,59,speechace-29s,1,16,0.375,16,200,54,5
AA_29cbf33e-8ec1-4da,idwrd_eng,49.0,50.0,15,49,speechace-29s,19,49,0.40816326530612246,49,200,48,15
AA_29cbf33e-8ec1-4da,orf_eng,59.0,60.0,48,59,speechace-29s,18,49,0.3877551020408163,49,200,48,42
AA_2a65f1d9-b974-45b,idwrd_eng,49.0,50.0,17,49,speechace-29s,7,49,0.14285714285714285,49,200,49,17
AA_2a65f1d9-b974-45b,orf_eng,57.0,60.0,37,59,speechace-29s,4,43,0.16279069767441862,43,200,41,23
AA_2d306c3b-928f-478,idwrd_eng,12.0,19.0,10,49,speechace-29s,4,14,0.6428571428571429,14,200,33,9
AA_34eb5079-1c89-41d,idwrd_eng,6.0,15.0,7,49,speechace-29s,2,17,0.4117647058823529,17,200,40,7
AA_34eb5079-1c89-41d,orf_eng,10.0,21.0,4,59,speechace-29s,7,35,0.5142857142857142,35,200,34,4
AA_35367e51-cc29-4df,idwrd_eng,13.0,19.0,7,49,speechace-29s,4,39,0.38461538461538464,39,200,35,0
AA_35367e51-cc29-4df,orf_eng,17.0,24.0,6,59,speechace-29s,8,48,0.375,48,200,43,4
