file,cost,idnummag_machine,idnummag_n,idnummag_enum,numrep_machine,numrep_n,numrep_enum,bleffcomp_machine,bleffcomp_n,bleffcomp_enum,wrdpblm_machine,wrdpblm_n,wrdpblm_enum,patterns_machine,patterns_n,patterns_enum
AA_048cadbc-2c10-416,0.10780125,0.0,10,3.0,0.0,7,2.0,,0,0.0,2.0,8,3.0,0.0,8,3.0
AA_05729872-0031-4b1,0.13252375,0.0,5,6.0,2.0,5,3.0,0.0,10,2.0,0.0,1,8.0,1.0,4,7.0
AA_05dc5dd8-2974-479,0.11819875,,0,6.0,,0,8.0,,0,1.0,4.0,8,4.0,,0,6.0
AA_05ebc0d7-bc26-4ab,0.15855875,1.0,4,3.0,2.0,8,3.0,,0,0.0,4.0,8,4.0,3.0,6,8.0
AA_063c4da1-14ee-4c6,0.12904375,7.0,8,4.0,2.0,5,6.0,2.0,3,4.0,4.0,8,7.0,4.0,8,4.0
AA_069e0b43-ec7e-41f,0.1141725,1.0,9,6.0,1.0,8,5.0,,0,3.0,2.0,8,7.0,0.0,7,3.0
AA_089659f0-087a-4dd,0.1458025,0.0,8,3.0,3.0,7,6.0,0.0,29,4.0,0.0,8,4.0,0.0,7,4.0
AA_0b2fc30d-55f4-429,0.0995325,0.0,4,0.0,3.0,8,1.0,,0,0.0,0.0,4,0.0,0.0,4,0.0
AA_0ce9865d-2257-4d8,0.07558875,,0,5.0,0.0,4,2.0,1.0,5,0.0,0.0,4,0.0,0.0,8,2.0
AA_0d43f0f6-2d6b-44e,0.13381,0.0,9,5.0,0.0,8,5.0,0.0,20,2.0,5.0,8,6.0,1.0,6,6.0
AA_0d47b184-8f04-431,0.145155,0.0,9,8.0,2.0,8,8.0,0.0,10,2.0,3.0,8,7.0,0.0,7,7.0
AA_0e2dac14-5204-4dc,0.0944525,0.0,12,1.0,0.0,1,0.0,,0,0.0,,0,0.0,0.0,6,1.0
AA_0f412e35-93b8-4b7,0.08554,0.0,2,2.0,0.0,4,1.0,,0,0.0,1.0,8,2.0,0.0,2,0.0
AA_12d53cb2-6597-40c,0.154135,2.0,9,8.0,3.0,9,8.0,0.0,8,4.0,0.0,5,0.0,1.0,8,5.0
AA_135c74c9-c70c-435,0.1285425,3.0,6,4.0,2.0,7,3.0,0.0,2,0.0,2.0,8,3.0,0.0,8,6.0
AA_158fcd1e-4d4e-4d0,0.12857375,0.0,12,6.0,0.0,6,2.0,0.0,13,0.0,0.0,8,3.0,0.0,11,4.0
AA_174662a2-7c83-461,0.05225875,0.0,7,2.0,0.0,2,2.0,0.0,3,1.0,,0,0.0,0.0,2,1.0
AA_19062548-6352-45b,0.09975125,0.0,1,2.0,2.0,6,1.0,0.0,3,1.0,1.0,8,2.0,0.0,1,0.0
AA_1972026f-6357-47c,0.08959875,0.0,7,4.0,0.0,8,2.0,0.0,2,2.0,,0,0.0,0.0,3,0.0
AA_1b71e9b9-d0ef-470,0.1239775,0.0,3,5.0,1.0,5,2.0,,0,0.0,0.0,7,1.0,0.0,6,2.0
AA_1bb7fdea-6bc2-422,0.07054375,0.0,5,2.0,0.0,2,2.0,,0,0.0,1.0,4,1.0,0.0,5,2.0
AA_1d938bbd-776b-4b6,0.0967275,0.0,4,1.0,0.0,3,2.0,0.0,9,4.0,0.0,4,0.0,0.0,4,7.0
AA_1e4a7c58-e85a-483,0.11419625,4.0,8,2.0,1.0,6,2.0,0.0,2,1.0,0.0,4,0.0,1.0,3,0.0
AA_1f684f13-e02a-48c,0.14612125,1.0,8,2.0,5.0,7,4.0,6.0,15,0.0,8.0,8,1.0,5.0,9,4.0
AA_211f7272-f101-442,0.0991425,0.0,1,5.0,0.0,6,2.0,1.0,11,2.0,4.0,8,4.0,0.0,11,1.0
AA_2296af89-8918-432,0.06105375,0.0,8,3.0,0.0,1,2.0,,0,0.0,1.0,2,0.0,0.0,4,0.0
AA_2318428a-ea25-4cf,0.1270675,1.0,9,0.0,0.0,7,1.0,0.0,3,0.0,0.0,4,0.0,0.0,5,0.0
AA_2387d28e-9d18-473,0.11237125,1.0,8,1.0,0.0,4,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0
AA_250a871a-d114-4e1,0.0966225,0.0,5,7.0,0.0,5,8.0,0.0,4,1.0,1.0,8,8.0,0.0,7,7.0
AA_268319c5-6f94-4a8,0.1226125,4.0,7,4.0,0.0,6,2.0,5.0,7,1.0,3.0,8,4.0,0.0,2,0.0
AA_271887cf-1b78-4ce,0.13388625,0.0,10,4.0,0.0,8,1.0,0.0,12,1.0,2.0,8,2.0,0.0,4,0.0
AA_27e407f8-7dc7-428,0.07479625,0.0,3,6.0,0.0,3,4.0,,0,2.0,4.0,6,7.0,0.0,1,6.0
AA_284e5d4b-0271-4ce,0.13333375,4.0,5,6.0,3.0,7,5.0,1.0,16,3.0,1.0,8,2.0,3.0,10,5.0
AA_2958d924-08be-406,0.11886,0.0,10,8.0,2.0,7,4.0,0.0,10,2.0,6.0,8,6.0,0.0,8,7.0
AA_2961fac7-aa9a-4de,0.0990425,,0,0.0,0.0,6,1.0,0.0,6,0.0,0.0,4,0.0,0.0,8,2.0
AA_29cbf33e-8ec1-4da,0.13469625,0.0,8,5.0,0.0,8,4.0,0.0,4,1.0,0.0,4,0.0,0.0,4,4.0
AA_2a65f1d9-b974-45b,0.15444625,5.0,8,7.0,3.0,5,6.0,3.0,7,4.0,0.0,7,4.0,3.0,6,8.0
AA_2d306c3b-928f-478,0.128285,3.0,10,7.0,1.0,4,3.0,0.0,13,2.0,6.0,8,6.0,2.0,5,1.0
AA_30410594-6fd6-468,0.0750425,0.0,4,1.0,0.0,3,0.0,,0,0.0,0.0,4,0.0,0.0,6,0.0
AA_34eb5079-1c89-41d,0.08686,0.0,8,6.0,0.0,8,2.0,0.0,1,1.0,1.0,8,2.0,0.0,8,5.0
AA_350b43cb-69b8-4f0,0.10457375,0.0,7,1.0,0.0,5,2.0,,0,0.0,0.0,4,0.0,0.0,3,0.0
AA_35367e51-cc29-4df,0.07014875,0.0,6,7.0,0.0,1,2.0,,0,3.0,,0,5.0,0.0,2,5.0
AA_374d6c43-5ef4-4ab,0.151685,1.0,7,4.0,3.0,8,2.0,0.0,8,1.0,0.0,6,3.0,0.0,8,5.0
AA_3815999e-d698-486,0.10288,1.0,3,0.0,0.0,4,1.0,0.0,1,0.0,0.0,4,0.0,0.0,2,0.0
AA_398f7981-c4b7-4fd,0.12466125,1.0,7,0.0,0.0,2,0.0,,0,0.0,0.0,4,0.0,1.0,7,3.0
AA_3a4a571d-875c-4bb,0.11785375,1.0,9,5.0,0.0,6,2.0,,0,3.0,0.0,4,0.0,0.0,7,4.0
AA_3b6b6972-0052-450,0.1271275,0.0,12,6.0,1.0,6,2.0,0.0,3,0.0,3.0,8,6.0,0.0,7,5.0
AA_430d23d7-68df-42a,0.05989125,0.0,3,1.0,1.0,2,1.0,,0,0.0,0.0,1,0.0,0.0,2,0.0
AA_44e68d46-79a6-402,0.1387025,0.0,9,7.0,0.0,6,6.0,0.0,2,2.0,0.0,8,5.0,0.0,9,6.0
AA_45355662-7319-408,0.06024125,0.0,5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,3,0.0,0.0,3,0.0
AA_48d71665-bb15-401,0.1395275,2.0,3,4.0,2.0,9,1.0,1.0,7,1.0,0.0,4,0.0,3.0,7,4.0
AA_4e25386a-f7bc-4a1,0.10686625,0.0,7,6.0,2.0,7,4.0,0.0,14,1.0,4.0,8,4.0,2.0,7,7.0
AA_4f99136d-8961-4e8,0.07224875,,0,5.0,0.0,1,2.0,0.0,1,0.0,0.0,2,0.0,0.0,4,0.0
AA_519d13b2-37f9-45c,0.11801625,5.0,7,4.0,0.0,3,0.0,7.0,8,0.0,1.0,7,3.0,4.0,8,3.0
AA_51a660bb-7db5-4a2,0.1522025,0.0,9,7.0,3.0,6,6.0,1.0,4,2.0,7.0,7,4.0,0.0,7,3.0
AA_52be51a8-a34a-4d0,0.0970175,0.0,3,1.0,,0,2.0,3.0,11,2.0,,0,3.0,1.0,2,7.0
AA_54566619-3293-4dd,0.066305,0.0,7,3.0,0.0,2,1.0,,0,0.0,0.0,1,0.0,0.0,7,3.0
AA_5536eaa7-896f-423,0.13178,6.0,8,7.0,2.0,7,6.0,2.0,7,2.0,2.0,8,5.0,4.0,8,4.0
AA_55913fb1-5a12-42a,0.10190125,0.0,5,7.0,2.0,3,8.0,0.0,10,5.0,0.0,1,0.0,1.0,1,8.0
AA_55bff466-ee5d-48f,0.0781225,2.0,7,5.0,0.0,5,2.0,,0,0.0,0.0,8,1.0,0.0,2,0.0
AA_577dd2ed-5436-421,0.15778325,1.0,1,6.0,4.0,9,7.0,2.0,10,3.0,0.0,8,6.0,0.0,6,7.0
AA_5d26dbc5-d348-4c6,0.0781625,2.0,4,8.0,,0,8.0,1.0,2,8.0,2.0,4,8.0,1.0,2,8.0
