file,sub,machine_correct,machine_attempted,machine_ins,enum_correct,enum_attempted,child_words,grade,conf
AA_8078f394-0660-4be,letterid_urd,1,78,2,82.0,83.0,80,1.0,1.0
AA_8078f394-0660-4be,letterid_eng,37,97,1,82.0,82.0,66,1.0,0.9
AA_8078f394-0660-4be,pw_eng,0,30,21,1.0,6.0,51,1.0,0.9
AA_8013413a-f6a1-4ac,letterid_urd,9,78,1,20.0,30.0,30,2.0,1.0
AA_8013413a-f6a1-4ac,orf_urd,0,60,0,0.0,5.0,3,2.0,0.9
AA_8013413a-f6a1-4ac,letterid_eng,21,97,17,1.0,8.0,114,2.0,1.0
AA_8013413a-f6a1-4ac,pw_eng,1,30,0,0.0,5.0,9,2.0,1.0
AA_8013413a-f6a1-4ac,idwrd_eng,0,49,73,0.0,5.0,122,2.0,1.0
AA_aef46179-5917-4dd,letterid_urd,1,78,8,40.0,42.0,86,3.0,1.0
AA_aef46179-5917-4dd,idwrd_urd,17,50,1,24.0,31.0,42,3.0,1.0
AA_aef46179-5917-4dd,orf_urd,13,60,11,30.0,39.0,63,3.0,1.0
AA_aef46179-5917-4dd,letterid_eng,30,97,127,90.0,90.0,223,3.0,1.0
AA_aef46179-5917-4dd,pw_eng,0,30,0,0.0,5.0,17,3.0,1.0
AA_aef46179-5917-4dd,idwrd_eng,9,49,1,25.0,28.0,34,3.0,1.0
AA_aef46179-5917-4dd,orf_eng,4,59,0,1.0,5.0,28,3.0,0.8
AA_2958d924-08be-406,letterid_urd,6,78,8,69.0,77.0,86,3.0,0.9
AA_2958d924-08be-406,idwrd_urd,43,50,0,50.0,50.0,49,3.0,0.9
AA_2958d924-08be-406,orf_urd,41,60,2,59.0,60.0,62,3.0,0.9
AA_2958d924-08be-406,letterid_eng,80,97,66,100.0,100.0,159,3.0,0.9
AA_2958d924-08be-406,pw_eng,4,30,9,10.0,30.0,38,3.0,0.9
AA_2958d924-08be-406,idwrd_eng,43,49,2,46.0,49.0,49,3.0,0.9
AA_2958d924-08be-406,orf_eng,28,48,2,29.0,34.0,38,3.0,0.9
AA_eb788e8a-917d-490,letterid_urd,18,78,37,98.0,100.0,115,4.0,0.95
AA_eb788e8a-917d-490,idwrd_urd,43,50,4,50.0,50.0,54,4.0,0.95
AA_eb788e8a-917d-490,orf_urd,40,60,1,60.0,60.0,61,4.0,0.95
AA_eb788e8a-917d-490,letterid_eng,53,97,86,100.0,100.0,182,4.0,0.95
AA_eb788e8a-917d-490,pw_eng,0,30,64,24.0,32.0,94,4.0,0.95
AA_eb788e8a-917d-490,idwrd_eng,41,49,8,50.0,50.0,56,4.0,0.95
AA_eb788e8a-917d-490,orf_eng,47,59,5,60.0,60.0,63,4.0,0.95
AA_1f684f13-e02a-48c,letterid_urd,4,78,0,39.0,43.0,42,1.0,0.9
AA_1f684f13-e02a-48c,idwrd_urd,0,50,4,0.0,2.0,54,1.0,0.9
AA_1f684f13-e02a-48c,orf_urd,1,60,11,1.0,3.0,71,1.0,1.0
AA_1f684f13-e02a-48c,letterid_eng,43,97,2,25.0,31.0,79,1.0,1.0
AA_1f684f13-e02a-48c,pw_eng,5,30,63,0.0,1.0,93,1.0,1.0
AA_1f684f13-e02a-48c,idwrd_eng,0,49,2,7.0,8.0,51,1.0,1.0
AA_1f684f13-e02a-48c,orf_eng,1,59,9,0.0,1.0,68,1.0,0.9
AA_b47c2091-d93e-49d,letterid_urd,2,78,0,70.0,70.0,77,4.0,0.9
AA_b47c2091-d93e-49d,idwrd_urd,39,50,18,50.0,50.0,67,4.0,0.9
AA_b47c2091-d93e-49d,orf_urd,42,60,5,60.0,60.0,65,4.0,0.9
AA_b47c2091-d93e-49d,letterid_eng,70,97,11,93.0,96.0,103,4.0,0.9
AA_b47c2091-d93e-49d,idwrd_eng,32,49,2,49.0,49.0,50,4.0,0.9
AA_b47c2091-d93e-49d,orf_eng,44,59,0,54.0,60.0,55,4.0,0.9
AA_d897830f-bbaa-44d,letterid_urd,2,78,0,58.0,60.0,68,3.0,1.0
AA_d897830f-bbaa-44d,idwrd_urd,20,28,8,28.0,28.0,36,3.0,1.0
AA_d897830f-bbaa-44d,orf_urd,14,60,6,32.0,33.0,50,3.0,1.0
AA_d897830f-bbaa-44d,letterid_eng,38,90,3,59.0,60.0,55,3.0,0.9
AA_d897830f-bbaa-44d,idwrd_eng,0,49,94,45.0,49.0,143,3.0,0.8
AA_d897830f-bbaa-44d,orf_eng,6,59,0,55.0,60.0,28,3.0,1.0
AA_519d13b2-37f9-45c,letterid_eng,39,89,3,47.0,49.0,54,1.0,0.9
AA_519d13b2-37f9-45c,idwrd_eng,0,49,0,0.0,1.0,16,1.0,0.7
AA_68b78def-9aaa-4e3,letterid_urd,3,78,0,41.0,44.0,48,2.0,1.0
AA_68b78def-9aaa-4e3,idwrd_urd,16,20,5,17.0,20.0,25,2.0,1.0
AA_68b78def-9aaa-4e3,orf_urd,7,53,1,16.0,17.0,21,2.0,1.0
AA_68b78def-9aaa-4e3,letterid_eng,54,97,43,78.0,80.0,139,2.0,1.0
AA_68b78def-9aaa-4e3,pw_eng,4,30,147,9.0,13.0,177,2.0,1.0
AA_68b78def-9aaa-4e3,idwrd_eng,10,49,175,15.0,18.0,223,2.0,1.0
AA_68b78def-9aaa-4e3,orf_eng,7,59,0,8.0,12.0,32,2.0,1.0
AA_44e68d46-79a6-402,letterid_urd,5,78,18,48.0,67.0,96,5.0,1.0
AA_44e68d46-79a6-402,orf_urd,42,60,3,60.0,60.0,63,5.0,1.0
AA_44e68d46-79a6-402,letterid_eng,43,97,74,98.0,100.0,171,5.0,1.0
AA_44e68d46-79a6-402,idwrd_eng,24,49,7,47.0,50.0,52,5.0,1.0
