n_tablet,n_llm,n_common,within5,within15,mean_abs_start_err,timed_len_err,errs,lens,cost,file
13,12,10,5.0,5.0,18.8,48.4,"{'listcomp_urd': 41.6, 'idwrd_urd': -4.5, 'listcomp_eng': 42.8, 'pw_eng': -2.8, 'idwrd_eng': 0.0, 'idnummag': -43.4, 'numrep': 26.6, 'blfluency': 20.5, 'wrdpblm': -4.5, 'patterns': -1.1}","{'listcomp_urd': (26.7, 85.0), 'idwrd_urd': (81.2, 110.0), 'listcomp_eng': (34.7, 103.0), 'pw_eng': (0.4, 43.0), 'idwrd_eng': (11.0, 60.0), 'idnummag': (2.0, 45.0), 'numrep': (1.0, 85.0), 'blfluency': (2.0, 75.0), 'wrdpblm': (60.7, 87.0), 'patterns': (42.5, 78.0)}",0.074806125,AA_048cadbc-2c10-416
15,15,14,3.0,11.0,20.7,20.4,"{'listcomp_urd': 117.2, 'letterid_urd': 6.7, 'idwrd_urd': -0.4, 'orf_urd': -2.3, 'rdcomp_urd': -5.8, 'letterid_eng': -5.3, 'pw_eng': 8.0, 'idwrd_eng': -7.3, 'idnummag': -9.8, 'numrep': 26.4, 'blfluency': 0.0, 'bleffcomp': -85.9, 'wrdpblm': 6.0, 'patterns': 9.1}","{'listcomp_urd': (13.6, 137.0), 'letterid_urd': (64.9, 80.0), 'idwrd_urd': (82.5, 94.0), 'orf_urd': (95.8, 104.0), 'rdcomp_urd': (24.7, 18.0), 'letterid_eng': (63.8, 66.0), 'pw_eng': (18.8, 34.0), 'idwrd_eng': (194.6, 194.0), 'idnummag': (51.5, 44.0), 'numrep': (8.9, 43.0), 'blfluency': (50.1, 140.0), 'bleffcomp': (91.1, 17.0), 'wrdpblm': (0.4, 12.0), 'patterns': (39.8, 54.0)}",0.07941375,AA_05729872-0031-4b1
17,15,15,8.0,13.0,9.7,13.5,"{'listcomp_urd': 40.7, 'letterid_urd': 0.0, 'idwrd_urd': -6.9, 'orf_urd': -0.0, 'rdcomp_urd': -5.4, 'listcomp_eng': 60.4, 'letterid_eng': -5.2, 'idwrd_eng': 3.7, 'orf_eng': 1.7, 'rdcomp_eng': 0.5, 'idnummag': 5.8, 'numrep': -4.0, 'blfluency': -6.5, 'wrdpblm': 1.8, 'patterns': -3.4}","{'listcomp_urd': (34.9, 85.0), 'letterid_urd': (58.1, 65.0), 'idwrd_urd': (37.1, 44.0), 'orf_urd': (25.0, 39.0), 'rdcomp_urd': (44.3, 47.0), 'listcomp_eng': (35.2, 104.0), 'letterid_eng': (54.8, 75.0), 'idwrd_eng': (45.5, 62.0), 'orf_eng': (38.1, 53.0), 'rdcomp_eng': (34.1, 44.0), 'idnummag': (69.7, 81.0), 'numrep': (59.4, 64.0), 'blfluency': (100.4, 85.0), 'wrdpblm': (121.6, 134.0), 'patterns': (27.7, 33.0)}",0.0750125,AA_05dc5dd8-2974-479
15,13,13,6.0,10.0,11.1,12.1,"{'listcomp_urd': 41.8, 'letterid_urd': -13.8, 'idwrd_urd': 0.0, 'orf_urd': -8.2, 'rdcomp_urd': 16.3, 'letterid_eng': -9.8, 'pw_eng': -1.9, 'idwrd_eng': 31.4, 'idnummag': 3.1, 'numrep': -10.7, 'blfluency': 0.1, 'wrdpblm': 2.5, 'patterns': -4.2}","{'listcomp_urd': (22.1, 75.0), 'letterid_urd': (76.4, 65.0), 'idwrd_urd': (135.1, 155.0), 'orf_urd': (100.4, 101.0), 'rdcomp_urd': (31.7, 60.0), 'letterid_eng': (77.1, 77.0), 'pw_eng': (45.2, 19.0), 'idwrd_eng': (17.3, 36.0), 'idnummag': (60.2, 79.0), 'numrep': (68.4, 66.0), 'blfluency': (70.6, 63.0), 'wrdpblm': (147.8, 163.0), 'patterns': (43.9, 50.0)}",0.1055025,AA_05ebc0d7-bc26-4ab
17,17,17,13.0,14.0,8.7,18.8,"{'listcomp_urd': 20.4, 'letterid_urd': 0.0, 'idwrd_urd': 2.7, 'orf_urd': 4.0, 'rdcomp_urd': -5.6, 'listcomp_eng': 64.2, 'letterid_eng': 2.9, 'pw_eng': 2.1, 'idwrd_eng': -1.8, 'orf_eng': 4.9, 'rdcomp_eng': -0.7, 'idnummag': -25.3, 'numrep': -2.0, 'blfluency': 1.1, 'bleffcomp': -4.0, 'wrdpblm': -2.9, 'patterns': -3.3}","{'listcomp_urd': (47.3, 76.0), 'letterid_urd': (59.3, 66.0), 'idwrd_urd': (28.6, 39.0), 'orf_urd': (19.2, 35.0), 'rdcomp_urd': (34.7, 33.0), 'listcomp_eng': (20.9, 98.0), 'letterid_eng': (56.5, 69.0), 'pw_eng': (4.1, 15.0), 'idwrd_eng': (39.2, 47.0), 'orf_eng': (43.4, 59.0), 'rdcomp_eng': (36.8, 39.0), 'idnummag': (79.3, 56.0), 'numrep': (65.8, 68.0), 'blfluency': (42.1, 113.0), 'bleffcomp': (57.4, 59.0), 'wrdpblm': (84.2, 85.0), 'patterns': (62.2, 62.0)}",0.1297575,AA_063c4da1-14ee-4c6
13,7,7,2.0,5.0,18.0,51.2,"{'listcomp_urd': 77.6, 'letterid_urd': -5.5, 'idnummag': -7.8, 'numrep': 12.7, 'blfluency': 17.3, 'wrdpblm': -5.0, 'patterns': 0.0}","{'listcomp_urd': (50.7, 142.0), 'letterid_urd': (62.7, 67.0), 'idnummag': (121.8, 104.0), 'numrep': (81.7, 105.0), 'blfluency': (58.9, 157.0), 'wrdpblm': (90.3, 99.0), 'patterns': (70.3, 85.0)}",0.08709625,AA_069e0b43-ec7e-41f
13,11,11,6.0,7.0,28.0,31.2,"{'listcomp_urd': 65.8, 'idwrd_urd': 0.0, 'listcomp_eng': 78.2, 'letterid_eng': -2.2, 'pw_eng': 49.9, 'idnummag': -10.2, 'numrep': -3.6, 'blfluency': 0.0, 'bleffcomp': -96.3, 'wrdpblm': 1.3, 'patterns': -0.6}","{'listcomp_urd': (21.7, 92.0), 'idwrd_urd': (31.2, 25.0), 'listcomp_eng': (41.4, 125.0), 'letterid_eng': (54.2, 64.0), 'pw_eng': (37.5, 28.0), 'idnummag': (67.2, 64.0), 'numrep': (59.8, 63.0), 'blfluency': (30.6, 130.0), 'bleffcomp': (150.1, 60.0), 'wrdpblm': (57.9, 66.0), 'patterns': (76.5, 67.0)}",0.08778375,AA_089659f0-087a-4dd
15,16,15,5.0,10.0,20.0,10.7,"{'listcomp_urd': 94.3, 'letterid_urd': -7.8, 'idwrd_urd': 0.0, 'orf_urd': 4.1, 'rdcomp_urd': 6.4, 'listcomp_eng': 74.5, 'letterid_eng': -2.1, 'pw_eng': -7.0, 'idwrd_eng': 0.4, 'idnummag': -20.4, 'numrep': 37.2, 'blfluency': -10.3, 'bleffcomp': 0.0, 'wrdpblm': -27.0, 'patterns': -8.1}","{'listcomp_urd': (39.3, 150.0), 'letterid_urd': (83.0, 65.0), 'idwrd_urd': (18.2, 32.0), 'orf_urd': (110.3, 113.0), 'rdcomp_urd': (25.0, 41.0), 'listcomp_eng': (35.0, 122.0), 'letterid_eng': (59.1, 74.0), 'pw_eng': (30.5, 20.0), 'idwrd_eng': (25.4, 40.0), 'idnummag': (39.6, 31.0), 'numrep': (55.8, 107.0), 'blfluency': (69.3, 69.0), 'bleffcomp': (43.9, 27.0), 'wrdpblm': (56.6, 42.0), 'patterns': (56.4, 48.0)}",0.09677875,AA_0b2fc30d-55f4-429
13,11,11,4.0,7.0,23.9,23.0,"{'listcomp_urd': 49.9, 'letterid_urd': -4.7, 'idwrd_urd': 5.6, 'listcomp_eng': 49.8, 'letterid_eng': -13.6, 'pw_eng': 0.0, 'idwrd_eng': -4.2, 'numrep': 72.5, 'bleffcomp': -49.0, 'wrdpblm': -9.2, 'patterns': 4.1}","{'listcomp_urd': (52.7, 117.0), 'letterid_urd': (1.1, 74.0), 'idwrd_urd': (39.8, 39.0), 'listcomp_eng': (70.7, 120.0), 'letterid_eng': (21.8, 28.0), 'pw_eng': (4.9, 30.0), 'idwrd_eng': (13.0, 23.0), 'numrep': (36.2, 122.0), 'bleffcomp': (52.4, 20.0), 'wrdpblm': (46.3, 54.0), 'patterns': (92.5, 113.0)}",0.111635,AA_0ce9865d-2257-4d8
17,17,17,4.0,9.0,54.5,16.7,"{'listcomp_urd': 57.1, 'letterid_urd': -8.5, 'idwrd_urd': -8.3, 'orf_urd': -0.5, 'rdcomp_urd': 2.1, 'listcomp_eng': 51.7, 'letterid_eng': -8.3, 'pw_eng': -8.2, 'idwrd_eng': -8.7, 'orf_eng': 0.0, 'rdcomp_eng': 24.2, 'idnummag': 36.4, 'numrep': 25.6, 'blfluency': 1.7, 'bleffcomp': -68.8, 'wrdpblm': 40.6, 'patterns': -576.2}","{'listcomp_urd': (29.4, 96.0), 'letterid_urd': (64.6, 66.0), 'idwrd_urd': (40.7, 45.0), 'orf_urd': (31.7, 45.0), 'rdcomp_urd': (34.1, 46.0), 'listcomp_eng': (29.7, 102.0), 'letterid_eng': (52.9, 58.0), 'pw_eng': (50.8, 55.0), 'idwrd_eng': (35.6, 40.0), 'orf_eng': (38.4, 52.0), 'rdcomp_eng': (51.5, 88.0), 'idnummag': (76.3, 101.0), 'numrep': (59.4, 95.0), 'blfluency': (46.5, 134.0), 'bleffcomp': (163.5, 112.0), 'wrdpblm': (122.2, 179.0), 'patterns': (676.3, 111.0)}",0.107877125,AA_0d43f0f6-2d6b-44e
