arm,model,file,sub,machine_correct,machine_attempted,enum_correct,baseline_correct,n_pairs,tp,fp,fn,cost,error
audio,google/gemini-2.5-flash,AA_eaf07843-14a1-4e9,idwrd_urd,50.0,50.0,29.0,4.0,29.0,0.0,0.0,0.0,0.0042851,
audio,google/gemini-2.5-flash,AA_eaf07843-14a1-4e9,orf_urd,60.0,60.0,48.0,12.0,53.0,0.0,0.0,5.0,0.0047592,
audio,google/gemini-2.5-flash,AA_eaf07843-14a1-4e9,orf_eng,59.0,59.0,36.0,7.0,43.0,0.0,0.0,7.0,0.0036851,
audio,google/gemini-2.5-flash,AA_aa8eabb8-8f23-448,idwrd_urd,50.0,50.0,48.0,40.0,50.0,0.0,0.0,2.0,0.0035326,
audio,google/gemini-2.5-flash,AA_aa8eabb8-8f23-448,orf_urd,60.0,60.0,60.0,42.0,60.0,0.0,0.0,0.0,0.0038642,
audio,google/gemini-2.5-flash,AA_aa8eabb8-8f23-448,orf_eng,59.0,59.0,56.0,34.0,59.0,0.0,0.0,3.0,0.0046001,
audio,google/gemini-2.5-flash,AA_b2abea24-c5e2-478,idwrd_urd,49.0,50.0,48.0,38.0,50.0,1.0,0.0,1.0,0.0036026,
audio,google/gemini-2.5-flash,AA_b2abea24-c5e2-478,orf_urd,60.0,60.0,60.0,40.0,60.0,0.0,0.0,0.0,0.0047742,
audio,google/gemini-2.5-flash,AA_b2abea24-c5e2-478,orf_eng,59.0,59.0,60.0,47.0,59.0,0.0,0.0,0.0,0.0045726,
audio,google/gemini-2.5-flash,AA_34eb5079-1c89-41d,idwrd_urd,50.0,50.0,10.0,3.0,16.0,0.0,0.0,6.0,0.0042851,
audio,google/gemini-2.5-flash,AA_34eb5079-1c89-41d,orf_urd,60.0,60.0,12.0,2.0,19.0,0.0,0.0,7.0,0.0047667,
audio,google/gemini-2.5-flash,AA_34eb5079-1c89-41d,orf_eng,59.0,59.0,10.0,4.0,21.0,0.0,0.0,10.0,0.0036926,
audio,google/gemini-2.5-flash,AA_44e68d46-79a6-402,orf_urd,60.0,60.0,60.0,42.0,60.0,0.0,0.0,0.0,0.0047392,
audio,google/gemini-2.5-flash,AA_44e68d46-79a6-402,orf_eng,59.0,59.0,52.0,38.0,57.0,0.0,0.0,5.0,0.0045726,
audio,google/gemini-2.5-flash,AA_b47c2091-d93e-49d,idwrd_urd,50.0,50.0,50.0,39.0,50.0,0.0,0.0,0.0,0.0035326,
audio,google/gemini-2.5-flash,AA_b47c2091-d93e-49d,orf_urd,60.0,60.0,60.0,42.0,60.0,0.0,0.0,0.0,0.0066042,
audio,google/gemini-2.5-flash,AA_b47c2091-d93e-49d,orf_eng,59.0,59.0,54.0,44.0,59.0,0.0,0.0,6.0,0.0045726,
audio,google/gemini-2.5-flash,AA_b68b3349-98b4-4c6,idwrd_urd,50.0,50.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0042851,
audio,google/gemini-2.5-flash,AA_b68b3349-98b4-4c6,orf_urd,60.0,60.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0047792,
